akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
śliṣ	śliṣṭa śliṣyate śliṣyat śliṣyati śliṣyet śliṣṭvā śliṣyanti aśliṣyam śliṣyante śliṣya 
śleṣay	śleṣita śleṣayati śleṣyate 
śvas	śvasat śvasiti śvasita śvasamāna śvasiṣi śvasyāt śvasati śaśvasuḥ śvasanti aśvasam śvasantu śuṣe śvasihi śvasta śvasāna śvasat 
śvāsay	śvāsaya śvāsayati śvāsita 
śvi	śūna śūśuvas śūśuvāna śūśuvat śūyate śūyete śūyante śiśvāya śuśāva śiśviyatuḥ śuśuvatuḥ śūśuvuḥ śūśuyāma śūśavāma śūśuve aśvat aśvayat śvayitum śūṣaṇi 
śvit	aśvait aśvitan aśiśvitat 
sac	sacante sacate sacanta siṣakti sacantām sacemahi sacethe sacasva siṣaktu saścire sacamāna sacase sacadhvam sacete sacatām sacāvahai sakṣīmahi saścata saścat saścat saceya saceta sacevahi asacata saścata saścima sacāvahe sacadhve sacethām sacetām asacanta secate siṣakta sisakṣi saścati sacata sakṣata sakṣva sacet saścasi saśce sakṣat saścuḥ sacata sakṣaṇi sacadhyai sacāna saścivas 
sajjay	sajjita sajjayanti sajjayadhvam sajjayet asajjayat sajjaye sajjayethāḥ sajjayitvā 
sañj	sakta sajjate sajati sajjante sajjamāna sajanti sajjeta sajat asajjanta sajet sajjase sajyate sajantu sasañje asakta sajāmi asajan sajyante asajjata seje sajyantām asakthāḥ asakṣata sajāmasi sajyamāna 
sañjay	sañjayati sañjayitum 
sad	sīdati sīdat sanna sīdanti sīda sasāda satsi sīdāmi sīdata sīdantu seduḥ asīdat sīdat sīdamāna sīdasi asadat satta sadantu sīdatam sīdate sedire sadaḥ sadema sīdet sada sadatām asādi asadan sīdan sadatam sādi sīdataḥ sīdatu sedima sīdeta sadat sadāma sīdetām sedathuḥ sedatuḥ sīdasva sadata sadantām sadat sīdema sīdatām sīdāma asīdam asīdaḥ asīdatam seda sīde sīdante sīdatām sadatu sadatana sadan satsat sadat sasattha sadan sadathaḥ sīdaḥ sattā sīdāti sasadyāt sattum sadat sedivas 
san	sanitā sanema sasavas sanoti saniṣyat sanuyāma sasāna sanat sana asanāma sanat saneyam asanat saniṣanta asanot asanvan asanam sanvantu sanuyām saniṣyasi saniṣyati asāniṣam sanet asanan sanam saniṣat sanitāsi sanitāraḥ sanavatha saniṣāmahe sanuhi sanotu saniṣan asanoḥ sāta sanitva 
sarjay	sarjayāmi 
sarpay	sarpita sarpayet 
sarsṛ	sarsṛte sarsre sarsrāte 
sah	soḍhum sahate saheta sahamāna sahasva sahante sehe soḍha sehire sahet sāhvas sahe soḍhavya sāḍha sahya sahat sehāna sahitum sahāmahe sahiṣyate sahāmi saha sahasāna sāsahvas asahanta sahiṣye sehuḥ sahyatām sāsahyāma sahatām sahati sāsahat sahitvā sahete saheran sahadhvam sahyate sahiṣyati sahiṣyanti sahāmaḥ saheyam saheyuḥ soḍhāsmi sahyāḥ sāhyāma sasāhe sāsahyāt sāsāha sahāvahai sahanīya soḍhavat sahadhyai sāsahāna sahase saheya sahethāḥ asahata sahiṣyase sahiṣyāmi sahiṣyataḥ sahanti sasāha asakṣmahi asākṣi sasāhiṣe sākṣate sakṣati sākṣāma sāsahaḥ sahiṣīmahi sāhiṣīmahi sākṣva sakṣat sakṣi sasahe sahyāḥ sasahe sahaḥ sāsahīṣṭhāḥ sahyuḥ asahiṣṭa sākṣe sākṣi soḍhvā sahitavya sakṣat sāhat 
sā	sita sya syāmi syasva syatam syat syanti syatu sāt syati syāvaḥ syāmaḥ siṣāya siṣet syadhvam syatām sīmahi sāhi 
sāday	sādita sādayati sādayāmi sādayet sādaya sādaye sādayitvā sādayat asādayanta asādayat asādayan sādayiṣyati sādayanti sādayeyuḥ sādayatu sādayatā sādayā sādayante sādayadhvam sādayāt sādya sādayiṣyat sādayitum sādyamāna 
sādhay	sādhya sādhita sādhayet sādhyate sādhayitvā sādhayati sādhayanti sādhaya sādhayat sādhayāmi sādhya sādhayitum sādhayiṣyāmi sādhayiṣyati sādhyatām sādhayāmaḥ sādhayasva sādhayate sādhayāmāsa sādhyamāna sādhayeyam asādhayat sādhayiṣyāmaḥ sādhayiṣyāmahe sādhaye sādhayeḥ sādhayatam sādhayantu asādhayam sādhayiṣyasi sādhayiṣyataḥ sādhyete sādhyante sādhayiṣye sādhayiṣyāma sādhayatām sādhayiṣyat sādhayitavya 
sāntvay	sāntvayat sāntvayitvā sāntvayāmāsa sāntvita sāntvyamāna sāntvayet sāntvayitum sāntvayasi sāntvayanti asāntvayat sāntvayiṣyasi sāntvayasva sāntvayati sāntvayema sāntvayeyuḥ sāntvaya sāntvayāmāsuḥ sāntvayitā sāntvayethāḥ sāntvayāṃcakrire sāntvya sāntvayāna 
sāray	sārita sārayet sārya sārayitvā sārayati sāryate sārayanti sārayat sāryamāṇa 
si	sināmi sinīthaḥ sinītaḥ sinātu sinantu sitam asināt 
sic	sikta siñcet sicyate secya siṣicuḥ siktvā siñcat siñcati siñca siñcyāt sicyamāna siñcata siñcanti siñcāmi asiñcan sicyase siñcatu siñcantu asiñcat siṣeca siñcatam asican siṣicatuḥ siṣice asiñcata siñcat siñcatā asiñcatam asiñcatām siñce siñcate siñcataḥ siñcatha siñceḥ sekṣyati asicat siñcase siṣiñcire sicyeta siñcam siñcasva siñcāmahai siñcadhvam asicyata sicāmahe sisicuḥ sisice asiṣikta sicaḥ siñcāt secanīya 
siñcay	siñcayet siñcita 
siñj	siñjāna 
sidh	siddha sidhyati sidhyanti sidhyet sidhyate sedha setsyati sedhatam sedhati sidhyeyuḥ sidhyat sidhyante sedhata siddha sidhyatu sidhyantu sidhyeta sidhyatām sedhanti sidhyataḥ sidhyetām sidhyamāna sedhāmi sedhasi sedhatu sedhantu asedhaḥ asedhat sedhīḥ sedhat siṣedha siṣidhuḥ sidhyete sidhyeran setsyate 
sisṛkṣ	sisṛkṣat sisṛkṣamāṇa sisṛkṣmaḥ asisṛkṣata 
sīv	sīvyet syūta sīvyatu sīvyati syūtvā sīvyadhvam sīvyantām sīvyat sīvya 
su	suta sunvat suvāna asāvi sunavāma sunoti sunota suṣvāṇa sunvāna sunvanti sunavāma suṣuma sunve sunvire sūyate sunuta suṣāva sota sunotana asunvan sasūva sunavat asūṣavat sunavai sutvā suṣuvas suṣuvāṇa sunutaḥ sunutha sunuyuḥ asunavam soṣyati sunu sunuhi sunotu suṣuvatuḥ sotu sutam sotana sunudhvam soṣyat sotave 
sukhay	sukhita sukhayati sukhayatu sukhayanti sukhayāmi sukhayasi sukhaya sukhayiṣyati sukhayitum 
sū	suṣuve asūta sūte asūyata sūta suva suṣāva sāviṣat sūtave suta suvate sūyate suvāmi suvati sāvīḥ suvāti sūtavai suvāna savitave suve sūyate suvatu sasūva suvāmasi suvāte soṣyate suṣuvire suvasi sūta suvīta suṣuve sava sūyanti suṣuvatuḥ sūṣva suṣuvāte suvatām suvantu asāviṣuḥ suvatāt sūtvā svāna sūṣyat 
sūcay	sūcita sūcayati sūcyate sūcayat sūcayanti sūcayet sūcyante sūcayiṣyanti sūcaya asūcayat asūcayan asūcyanta sūcyeta sūcitavat sūcayitum sūcitum sūcya 
sūtray	sūtrita sūtryante sūtrayati sūtrayet 
sūday	sūdita sūdayat sūdayiṣyāmi sūdayiṣyasi sūdayāmāsa sūdayitvā sūdayāmi sūdayantu asūdayat sūdayāti sūdayanti sūdaya sūdayāna sūdayet sūdayema sūdayatu asūdayam asūdayan sūdayiṣyati sūdayiṣyanti sūdayase sūdayante sūdayiṣye asūdayanta sūdayat 
sṛ	sasāra sarati sṛta asarat sisrate sasruḥ sarat sasṛvas sara asaran sasre sarat sartave sartavai sṛtvā sisratām sariṣyat sisarṣi sisarti sariṣyatha asaram sasratuḥ saret saranti sarate sasrāthe asaram asaraḥ saran sarṣat sisṛtam sara sisratuḥ sisrat sṛtavat saritum sartavya sasrāṇa sasṛmāṇa 
sṛj	sṛṣṭa asṛjat sasarja sṛṣṭvā sṛjati asṛjata sṛjat sṛja sṛjate sasṛje sraṣṭum sṛjāmi sṛjet sṛjat asṛkṣata sasṛjuḥ sṛjyamāna sṛjanti sṛjyate sṛjyante sṛṣṭavat sṛjya asarji asṛjan asṛgram sṛjāna sṛjasi sṛjasva asṛjanta asṛgran asṛjam srakṣyāmi sṛjantu asṛjaḥ sṛjat srakṣyamāṇa sṛjata srakṣye sṛjai sṛjadhvam asṛjyata asṛjyanta sṛjaḥ sṛjamāna sṛjatam sasarjire asṛkṣata sraṣṭavya sṛjathaḥ sṛjataḥ sṛjeyuḥ sasṛjmahe asrākṣīt asṛkṣi sasṛjāna sṛjeḥ sṛjatu sasṛjāte asrākṣīḥ sṛjeya sṛjethāḥ sṛjyatām sasarjuḥ srākṣīḥ asṛjan asasṛgram asṛṣṭa sṛjāmasi sarji srāḥ sṛjya sṛjeyam sṛjetām srakṣyati srakṣyatha sasarjitha sṛjyete srakṣyāmahe sṛjāvahai sṛjethām sṛjase asṛjetām sasarjatuḥ asṛjyetām sṛkṣyāma asrāk sasṛjyāt sṛjāt asṛkṣat asrāṣṭram sasṛjrire sṛjanta sṛjāti srāṣṭam sṛṣṭum 
sṛp	sarpati sarpanti sarpat sarpate sarpet sasarpa sṛpta sṛptvā sarpa sarpantu sarpat asṛpta sarpatu sarpata sasṛpuḥ sṛpat sarpitum sarpamāṇa 
secay	secayet secita secayitvā 
sev	sevita sevya seveta sevate sevyamāna sevyate sevamāna siṣeve sevante sevitum sevitavya sevyatām sevanti sevanīya siṣevire sevase asevata sevasva sevet sevitvā sevya sevat severan seve seviṣyante sevyante asevanta sevyase seva sevete sevethāḥ sevatām seviṣyate seviṣyati sevata sevantu aseviṣi aseviṣātām asevi sevyanti sevitavat 
sevay	sevayet sevayitvā 
skand	skanna skandet skandati caskanda askandat skandate skandanti skanda skandante caskande askāntsīt skan 
skanday	skandayet skandita skandayati skandayate skandayat 
skambh	skabhita skabhnāti caskambha cāskambha skambhuḥ skambhathuḥ skabhitvī caskabhāna 
skhal	skhalita skhalat skhalati skhalanti caskhaluḥ skhalet askhalat askhalan caskhāla caskhale skhalate 
stan	stanat astānīt stanihi stan stana stanita stanamāna 
stambh	stabdha astabhnāt tastambha stabdhvā astabhnāḥ stambhanīya stambhate tastabhuḥ stabhyate tastambhire astambhīt tastabhāna stabhnāmi stabhnāti stabhyete stabhyante stambhet stabhāna astabhnuvan stambhīt tastambhat stabhita stabhya stabhyamāna tastabhvas 
stambhay	stambhita stambhayati stambhayet astambhayat stambhayate stambhayāmāsa stambhaya stambhayitvā stambhayanti stambhayeyam astambhayam stambhayat astambhayata stambhayitum 
stāvay	stāvayate 
stu	stuta stuvanti stuvat stūyamāna tuṣṭuvuḥ tuṣṭāva stutvā tuṣṭuvāna stuvīta stuvate astuvan stuhi stute stuta stauti stuṣe stotum stavāna stūyate stotavya stutya stuyuḥ astuvat stoṣyāmi stavāma staumi stuvīran stavya astāvi stuvate studhvam astaut astauṣīt stuṣe stavate stave stuvāna stavamāna stoṣyati stoṣyāmaḥ astauṣam astoṣi stoṣāma stavā stūyase astāvīt astuvam stuvati stavat stavase stavante stoṣyat stoṣyamāṇa stutavat stavat tuṣṭuvas stauṣi stumaḥ stoṣyanti tuṣṭuvatuḥ stuvīmahi stūyante stūyatām stunvanti astuvan stoṣye astuvata stuvantu stavai stoṣat stumasi stavanta stuṣva stota stutya stuvāna stavai stavadhyai stotave stuyām stuyāt astauṣīḥ stunomi tuṣṭuve tuṣṭuvāte tuṣṭuvire stoṣyase staviṣyanti astuvātām astūyata stautu stutam stotā stotāraḥ astoṣata stuvante stoṣi astoṣṭa astoḍhvam astoṣata stoṣāṇi stavāmahe stavatha staviṣyāmi atuṣṭavam staveta stuvatām stoṣam staut tuṣṭavat staviṣyase stunvat 
stubh	stobhanti stobhati stobhata stobhantu stobhat 
stṛ	stīrṇa stṛṣīya stṛta stṛṇute stṛṇīta astṛṇuta stṛtya startavai astṛṇan astaḥ tastāra stṛṇāti astṛṇāt stṛṇīhi stṛṇoṣi stṛṇat stṛṇāna starītave stṛṇanti stṛṇvīyātām stṛṇītam tastaruḥ astarat stṛṇoti stṛṇīte stṛṇīmahi tistire starate starāmahe astāri stṛṇītām star stṛṇavāmahai astṛṣi astṛta stīrtvā tistirāṇa 
stobhay	astobhayat 
styai	styāna styāyati 
sthā	sthita tiṣṭhati tiṣṭhat tasthau tiṣṭha tiṣṭhanti sthitvā tiṣṭhet tasthuḥ sthātavya sthātum atiṣṭhat tiṣṭhatu asthāt tiṣṭhantu tiṣṭhate tasthivas tiṣṭhasi sthīyatām sthāsyati tiṣṭhāmi stheya sthāsyanti atiṣṭhan tiṣṭhata tasthatuḥ asthuḥ sthāsyāmi atiṣṭhata tiṣṭhataḥ tiṣṭheta tiṣṭhā tiṣṭheyuḥ tiṣṭhadhvam sthātā atiṣṭhanta atiṣṭham tiṣṭhāmaḥ tiṣṭhante tiṣṭhat sthīyate sthāsyate tasthire sthāsyasi tiṣṭhase tasthe tiṣṭhasva sthāt sthuḥ asthiran tiṣṭhat tiṣṭhamāna tiṣṭhathaḥ tiṣṭhema atiṣṭhaḥ asthita tiṣṭheyam atiṣṭhatām tiṣṭhe sthāta tiṣṭhāti tiṣṭhāḥ tiṣṭhatām tiṣṭhethāḥ sthāḥ asthāyi tiṣṭhaḥ tiṣṭhāt sthām stheyāma sthitavat tasthathuḥ tasthima asthāsyat tiṣṭhatam tiṣṭhāma tiṣṭhāmahe tiṣṭhantām tiṣṭheran sthāta sthāthaḥ sthānīya tiṣṭhatha tiṣṭhetām tiṣṭheta sthāsyāmaḥ atiṣṭhāva atiṣṭhāma atiṣṭhata tiṣṭhāni tasthe tasthiṣe stheyāḥ stheyāt tiṣṭheya atiṣṭhetām sthāsye sthāsyete tiṣṭhāte asthāḥ asthāma sthāḥ sthāti sthātam tiṣṭhan tiṣṭhāsi tiṣṭhāte tiṣṭhanta tiṣṭhāthaḥ tiṣṭham sthāsyat sthāya tiṣṭhāna tasthāna sthānt 
sthāpay	sthāpayet sthāpita sthāpayitvā sthāpya sthāpya sthāpayāmāsa sthāpayati sthāpayanti sthāpyeta sthāpayiṣyati sthāpaya sthāpayāmi sthāpayat sthāpayiṣyāmi sthāpyate sthāpayitum sthāpayitavya sthāpayāmāsuḥ sthāpyatām sthāpayasva sthāpanīya sthāpitavat asthāpayat sthāpayate sthāpayeyuḥ sthāpayata atiṣṭhipam sthāpayema sthāpayiṣyanti sthāpayāmāsatuḥ sthāpyante sthāpayadhvam atiṣṭhipat sthāpayāmasi sthāpayasi sthāpayataḥ sthāpayāmaḥ sthāpayetām sthāpayatu asthāpayam sthāpayāṃcakruḥ sthāpyantām sthāpayase sthāpayatām sthāpayemahi atiṣṭhipaḥ atiṣṭhipan asthāpayiṣyata tiṣṭhipat sthāpayāti sthāpyamāna sthāpitavya 
snapay	snapita snapayati snapayet snapayat snapayitvā snapayasi snapayanti snapayatu snapayāṃbabhūvuḥ snapayāmasi 
snā	snātvā snāta snāyāt snātum snāti snāyīta sasnau snānti snāhi snāsyat snānt snātavya snāyat sasnuḥ snāsyati snāyante snātavat sneya snānīya snāyamāna snāsi snātaḥ snāyuḥ snāsyasi snāsye snāsyate snāta sasne snātva 
snāpay	snāpayet snāpya snāpayitvā snāpita snāpayāmāsa snāpayat snāpayanti snāpyamāna snāpayāmi snāpayasi snāpayati snāpayataḥ snāpayeta asnāpayat snāpayiṣyāmaḥ snāpayiṣyanti snāpyante snāpyantām snāpayāṃcakruḥ snāpayāmāsuḥ snāpayāṃcakrire 
snih	snigdha snihyati snihyat snehanīya snihyanti snihyet 
snu	snuta snuvanti 
snehay	snehya snehayet snehayitvā snehayati snehayanti snehita snehayitavya snehayat snehanīya 
spand	spandate spandamāna spandeta spanditum spandanti spandita spandante spandeyātām paspande spanditavya spandat 
sparśay	sparśayet sparśayitvā sparśayati sparśita sparśayāmi asparśayam sparśayāmāsa sparśayate sparśayasva sparśayitavya 
spṛ	spṛta spṛṇoti aspṛṇvan sparat aspṛṇot spṛṇuhi spṛdhi aspārṣam spṛṇuyām spṛtam spṛṇotu spṛṇavāma aspaḥ spartam spaḥ sparase 
spṛdh	spardhate spardhamāna aspardhanta spardhante spardhat spardhya paspṛdhāna spardhase apaspṛdhethām spardhati paspardha aspṛdhran spūrdhan spardhethāḥ aspardhata aspardhetām spardhasi spardhanti spardhiṣṭhāḥ paspṛdhre paspṛdhāte spṛdhāna spūrdhase 
spṛś	spṛṣṭa spṛśet spṛṣṭvā spṛśat spṛśati aspṛśat spṛśanti pasparśa spṛśya spraṣṭum spṛśyate spṛśa spraṣṭavya spṛśāmi spṛśya spṛśate spṛśyamāna aspṛśan paspṛśuḥ spṛśasi spṛśataḥ spṛśata spṛśeyuḥ spṛśatu spṛśyante sprākṣīḥ spṛṣṭavat spṛśeyam spṛśeḥ aspṛśam sprakṣyāmi sprakṣyanti spṛśe spṛśyeta sparśanīya spṛśamāna spṛṣṭavya spṛśema aspṛśaḥ sprakṣyasi sprakṣyati pasparśatuḥ spṛśye spṛśyete spṛśeya spṛśeta aspṛśye aspṛśyata spṛkṣata paspṛśe asprākṣam sprākṣam spṛśāmasi pasparśat pispṛśaḥ pispṛśati aspṛkṣat sparśitavya pasparśivas 
spṛhay	spṛhayanti spṛhayet spṛhayāmi spṛhayate spṛhayati spṛhayat aspṛhayam spṛhayiṣyasi spṛhaye spṛhayase spṛhayāmahe spṛhayante spṛhayāṃcakāra spṛhayāmāsa 
sphāray	sphārita sphārayat 
sphuṭ	sphuṭita sphuṭanti sphuṭati sphuṭat pusphoṭa sphuṭet asphuṭat sphuṭeyuḥ sphuṭatu sphuṭasi asphuṭan sphoṭati sphuṭate sphuṭitvā sphoṭat 
sphur	sphurat sphurati sphurita sphuret sphuranti asphurat sphuritvā sphurate sphuramāṇa sphura sphuratu sphuriṣyati sphurasi sphurataḥ asphuraḥ sphurante sphurat spharīḥ sphurān 
sphūrj	sphūrjat sphūrjate sphūrjita 
sphūrjay	sphūrjayat 
sphoṭay	sphoṭayet sphoṭayati sphoṭayat sphoṭita sphoṭayitvā sphoṭaya asphoṭayan sphoṭyate sphoṭayāmāsa sphoṭayitum 
smaray	smarayati 
smāray	smārita smārayat smārayāmāsa smārayāmi smārayati smārayiṣyāmi smāraye smārayitvā smārayanti smāraya smārayethāḥ smāryate smārayitā smārayiṣyat 
smi	smayat smayamāna smita smitvā asmayata smayate smayase smayitvā smayete smayante smayeta asmayiṣṭhāḥ smayāmi smayati asmeṣi smayanta 
smṛ	smṛta smarat smṛtvā smaret smarāmi sasmāra smarati smaranti smara smartavya smarasi smarate smaryate smartum smariṣyasi asmarat smaramāṇa smāram smaryatām smare smartāsi smaryamāṇa smareḥ smariṣyanti smarasva smaraṇīya smareyam smariṣyati smariṣyāmi smarethāḥ smaratām smṛtya smṛtavat smaratām asmaram asmaran smaryante smareta asmārṣuḥ smaratāt smarāmaḥ smaratha smareyuḥ smaratu sasmaruḥ smarethām smaradhvam smariṣye smarāthaḥ smarāt smarya 
syand	syandamāna syandate syandante asiṣyadat syandati syandanti sasyande syandete syantā syandasva syandantām siṣyade asiṣyadanta asyān siṣyaduḥ syandeta syandat syanna syanditum 
syanday	syandayati syandita 
sraṁs	srasta sraṃsate sraṃsante sraṃsamāna sraṃset asrat srasema asisrasan sraṃseta 
sraṁsay	sraṃsayitvā sraṃsita sraṃsayat sraṃsayāmi sraṃsayati sraṃsanīya 
srāvay	srāvayet srāvya srāvayitvā srāvayati srāvita srāvayat srāvayanti srāvayāmasi srāvayāmaḥ srāvayate srāvayitum srāvyamāṇa 
sru	sruta sravati sravat sravet sravanti srava susrāva sravate sravantu susruvuḥ asravat sravataḥ sraveta susrot srutvā sravitave asravaḥ asravan susruvatuḥ sravante susruve susruvāte susroḥ sravamāṇa sravitavai 
svaj	sasvaje svajethāḥ sasvajāte svajasva svajāte svajāmahe svajante svajeya svajadhvam asvajata sasvajuḥ svajitvā 
svad	svadate svadasva svadanti svadantu svadante svādat svadāmi svadathaḥ svadeta svada svadatu svadāti siṣvadat 
svan	svananti svanat sasvanuḥ svanataḥ sasvanatuḥ svanate asvanīt svānīt 
svanay	svanayan 
svap	supta svapiti svapat suṣvāpa svapet suptvā suṣupuḥ svapyāt svapanti svaptum svapsyanti svaptavya supyāt svapa svapantu svapiṣi svapsye svaptu svapat supyatām svapimi svapsyasi svapsyati supyate svapeyuḥ svapāmi svapate svapihi asvāpsam asvapan asvapat svapitu siṣvap suṣupvas svapitha svapyuḥ svapsyāmi svapatu asvapatām svapsyase svapsyate svape svapāmahe svapante svaptā svapeta siṣvapaḥ svapiṣyati svapsyat svapita suptavat suṣupāṇa 
svar	asvaran svaranti svara svarat svarati svarantu asvār asvārṣṭām svarāti 
svāday	svādita svādya svādayet svādyate svādyamāna 
svāpay	svāpayāmasi svāpaya asvāpayat asvāpayan asvāpayaḥ 
svid	svinna svedya svidyati svedanīya svidyat svidyate svidyanti siṣvidāna svidyataḥ svedate svidyamāna 
sveday	svedayet svedita svedya svedayitvā svedyate svedya svedanīya svedayanti svedayati svedaya svedayeta svedayat 
han	hata hanti hatvā jaghāna hanyāt hantum jaghnuḥ ghnanti jahi ghnat haniṣyāmi hantavya hanyamāna hanyate hanmi hanyuḥ hanyām hantā ahan haniṣyati jaghnatuḥ jaghne ahanat jaghnivas hantu haṃsi hanyatām hata hate hana hantāsmi hatam jaghanvas hanyante ahan haniṣyanti haniṣye jaghantha hatavat haniṣyasi haniṣyāmaḥ hataḥ ghnantu jighnate hanyāḥ ghnata han hantave aghnan jaghnire hanmaḥ ahan hantavai hanyeta ahanyata jighnase haniṣyat hantāsi ahanyanta ahaniṣyat han hanaḥ hatvī ahatam hantana hatvāya hathaḥ hanyāma haniṣyatha ahanam hanāni hanāva ajīghanat hanma hanyeran hanasva ahatām jīghanaḥ hanat hanati hanāva hanāma hanya ghnantum jighnat hatha hanyātām ahanam ahan aghnatām haniṣyāvaḥ hanye hanyase ahanaḥ ahanan jaghāna jaghnathuḥ jaghnima ajīghanan hanyati hanyāmaḥ hantāraḥ haniṣyate hanyetām hanyantām haṃsye aghnata ahanam ghnataḥ ghnate aghnat hatām ghnatām hananta jaghanat hanat han han hanāḥ hanmasi hanat hanyat jighnamāna hantva hantya 
