Лемма	Класс	Форма	Частота
as	2	syāva	2
as	2	syātam	2
as	2	āstam	2
as	2	san	2
as	4	asyanti	2
as	4	asyatam	2
as	4	asyatām	2
as	4	asiṣyat	2
as	4	asya	2
as	4	astave	2
āp	1	āpnomi	2
āp	1	āpsyāmi	2
āp	1	āpsyatha	2
āp	1	āpāma	2
āp	1	āpan	2
āp	1	āpe	2
āp	1	āpāna	2
ās	4	āsāthe	2
ās	4	āsiṣi	2
ās	4	āsāṃcakrire	2
ās	4	āsadhvam	2
ās	4	āsanīya	2
i	5	imaḥ	2
i	5	aiḥ	2
i	5	aitam	2
i	5	eṣyataḥ	2
i	5	itām	2
i	5	eṣyate	2
i	5	itā	2
i	5	āyata	2
i	5	itana	2
i	5	ayaḥ	2
i	5	ayat	2
i	5	imasi	2
i	5	inoti	2
i	5	iyatha	2
i	5	ayanta	2
i	5	etum	2
i	5	ityai	2
i	5	etoḥ	2
i	5	invat	2
indh	2	indhām	2
indh	2	inadhate	2
indh	2	iddhvā	2
iṣ	1	iccheḥ	2
iṣ	1	icchatu	2
iṣ	1	aicchaḥ	2
iṣ	1	aicchāma	2
iṣ	1	eṣiṣyāmaḥ	2
iṣ	1	īṣatuḥ	2
iṣ	1	iṣyāmi	2
iṣ	1	iṣyanti	2
iṣ	1	icchāvahe	2
iṣ	1	iccheya	2
iṣ	1	icchethāḥ	2
iṣ	1	icchasva	2
iṣ	1	icchatām	2
iṣ	1	icchā	2
iṣ	1	icchanta	2
iṣ	1	eṣiṣyamāṇa	2
iṣ	6	iyeṣa	2
iṣ	6	iṣe	2
īkṣ	4	īkṣe	2
īkṣ	4	aikṣe	2
īkṣ	4	aikṣetām	2
īkṣ	4	aikṣiṣṭa	2
īḍ	2	īḍyase	2
īḍ	2	īḍire	2
īś	2	īśmahe	2
īś	2	īśatā	2
īh	1	īhatuḥ	2
īh	1	īhat	2
ukṣ	6	aukṣan	2
ukṣ	6	ukṣante	2
uc	4	ucyati	2
uc	4	ucyatu	2
und	6	undanti	2
und	6	ūduḥ	2
ubj	6	ubja	2
ubj	6	ubjatam	2
ubj	6	aubjaḥ	2
ūh	1	auhat	2
ūh	1	auhata	2
ūh	4	ohase	2
ūh	4	ohāna	2
arpay	10	arpayasi	2
arpay	10	arpayanti	2
arpay	10	ārpayat	2
ṛj	1	ṛñjase	2
arjay	10	arjayati	2
arjay	10	arjayanti	2
ṛdh	5	ārdhnuvan	2
ṛdh	5	ṛdhyate	2
ṛdh	5	ṛdhyante	2
ṛdh	5	ṛdhyāma	2
ṛdh	5	ṛdhyante	2
ṛdh	5	ṛdhyām	2
ṛdh	5	ṛdhyāḥ	2
ṛdh	5	ṛdhat	2
ardhay	10	ardhayati	2
ṛṣ	6	arṣantu	2
kathay	10	kathayāmaḥ	2
kathay	10	kathayeyam	2
kam	4	acakamata	2
kam	4	kānta	2
kam	4	kāmya	2
kamp	1	kampeta	2
kamp	1	akampanta	2
kamp	1	kampanti	2
kamp	1	kampa	2
kaṣ	1	kaṣat	2
kāṅkṣ	2	kāṅkṣasi	2
kāṅkṣ	2	kāṅkṣāmaḥ	2
kāṅkṣ	2	akāṅkṣat	2
kāṅkṣ	2	kāṅkṣiṣyati	2
kāṅkṣ	2	kāṅkṣeta	2
kāś	1	cakāśete	2
kās	1	kāset	2
kuṭṭay	10	kuṭṭayāmāsa	2
kuṭṭay	10	kuṭṭayat	2
kūj	1	kūjitavya	2
kūj	1	kūjamāna	2
kṛ	2	kurvaḥ	2
kṛ	2	akaraḥ	2
kṛ	2	kriyete	2
kṛ	2	kurutam	2
kṛ	2	kurutām	2
kṛ	2	kurvīmahi	2
kṛ	2	akurmahi	2
kṛ	2	kṛṇvantu	2
kṛ	2	kariṣyāvahe	2
kṛ	2	akri	2
kṛ	2	acīkaran	2
kṛ	2	akariṣyaḥ	2
kṛ	2	akariṣyat	2
kṛ	2	kariṣyāma	2
kṛ	2	kriyeran	2
kṛ	2	akurvatām	2
kṛ	2	akriyanta	2
kṛ	2	kṛṇavai	2
kṛ	2	karāṇi	2
kṛ	2	karasi	2
kṛ	2	karathaḥ	2
kṛ	2	karataḥ	2
kṛ	2	karāma	2
kṛ	2	kartam	2
kṛ	2	kṛṇavāma	2
kṛ	2	kṛṇutām	2
kṛ	2	akṛṇuta	2
kṛ	2	kṛṇmahe	2
kṛ	2	karatām	2
kṛ	2	kṛṇvīta	2
kṛ	2	kariṣyāḥ	2
kṛ	2	karā	2
kṛ	2	krat	2
kṛt	2	kṛntata	2
kṛt	2	kṛtyamāna	2
kṛp	1	kṛpamāṇa	2
kṛṣ	6	karṣata	2
kṛṣ	6	karṣantu	2
kṛṣ	6	cakarṣuḥ	2
kṛṣ	6	kṛṣyante	2
kṛṣ	6	kṛṣanti	2
kṛṣ	6	kṛṣet	2
kṛṣ	6	kṛṣatu	2
kṛṣ	6	karṣaṇīya	2
kﾱp	1	kalpase	2
kﾱp	1	kalpetām	2
kﾱp	1	akalpanta	2
kﾱp	1	caklape	2
kﾱp	1	cākﾱpre	2
kﾱp	1	cākﾱpe	2
kalpay	10	kalpayeyuḥ	2
kalpay	10	kalpayata	2
kalpay	10	kalpaye	2
kalpay	10	kalpayasva	2
kalpay	10	kalpayāmāsuḥ	2
kalpay	10	kalpyeta	2
krand	1	cakranduḥ	2
krand	1	cakradaḥ	2
krand	1	kradaḥ	2
krand	1	krandita	2
kram	4	krāmema	2
kram	4	cakrāma	2
kram	4	krameyam	2
kram	4	kramiṣyati	2
kram	4	cakramuḥ	2
kram	4	cakramanta	2
kram	4	kramiṣṭa	2
kram	4	krāntvā	2
kram	4	krāntum	2
krī	1	krīṇāsi	2
krī	1	krīṇāti	2
krī	1	krītavat	2
krī	1	krīyamāṇa	2
krīḍ	1	krīḍasi	2
krīḍ	1	krīḍāmaḥ	2
krīḍ	1	krīḍatu	2
krīḍ	1	krīḍantu	2
krudh	4	krudhyate	2
krudh	4	krudhyeta	2
krudh	4	cukrudhāma	2
kruś	4	krośatu	2
kruś	4	akrukṣat	2
kliś	9	kliśnāsi	2
kliś	9	kliśnanti	2
kṣad	1	kṣadante	2
kṣad	1	cakṣadāna	2
kṣam	1	kṣamase	2
kṣam	1	kṣamāmahe	2
kṣam	1	kṣamiṣye	2
kṣam	1	cakṣāma	2
kṣam	1	kṣaṃsyante	2
kṣam	1	kṣamaṇīya	2
kṣam	1	kṣamat	2
kṣam	1	kṣāmya	2
kṣar	1	kṣaramāṇa	2
kṣālay	10	kṣālanīya	2
kṣālay	10	kṣālya	2
kṣi	1	kṣayaḥ	2
kṣi	1	kṣayasi	2
kṣi	1	kṣayathaḥ	2
kṣi	1	kṣayatha	2
kṣi	1	kṣetavya	2
kṣi	9	kṣiṇvanti	2
kṣi	9	kṣiṇotu	2
kṣi	9	kṣīyeta	2
kṣi	9	kṣīyāmaḥ	2
kṣi	9	kṣayya	2
kṣip	6	kṣipāmaḥ	2
kṣip	6	akṣipan	2
kṣip	6	kṣepsyāmi	2
kṣip	6	kṣepsyasi	2
kṣip	6	kṣepsyanti	2
kṣip	6	kṣipyati	2
kṣip	6	kṣipe	2
kṣip	6	kṣipate	2
kṣip	6	cikṣepatuḥ	2
kṣip	6	kṣeptā	2
kṣip	6	cikṣipe	2
kṣu	2	kṣuyāt	2
kṣud	1	kṣuttvā	2
kṣubh	1	kṣubhyet	2
kṣubh	1	kṣubhyate	2
kṣubh	1	kṣobhate	2
kṣubh	1	akṣubhyata	2
kṣubh	1	kṣubhyamāṇa	2
khan	2	khananti	2
khan	2	khanata	2
khan	2	khaniṣyāmi	2
khan	2	khanyate	2
khan	2	kheya	2
khād	1	khādasi	2
khād	1	khādāmaḥ	2
khād	1	khādeyam	2
khād	1	khādeyuḥ	2
khād	1	khāda	2
khād	1	khādāma	2
khād	1	khādate	2
khād	1	khādante	2
khād	1	khāditavat	2
khid	4	khidyase	2
khel	1	khelat	2
khyā	4	khyāsyāmaḥ	2
khyā	4	akhyan	2
khyā	4	khyan	2
khyā	4	khyan	2
khyā	4	khyāyamāna	2
gad	1	gada	2
gad	1	agādīt	2
gam	6	jagantha	2
gam	6	jagmathuḥ	2
gam	6	gamyante	2
gam	6	gacchāni	2
gam	6	gamiṣyate	2
gam	6	gamantu	2
gam	6	gacchāvahe	2
gam	6	gamam	2
gam	6	jagme	2
gam	6	agasmahi	2
gam	6	gacchāti	2
gam	6	gacchāt	2
gam	6	gamyāḥ	2
gam	6	gamāni	2
gam	6	gamāma	2
gam	6	gamiṣṭam	2
gam	6	jagamyuḥ	2
gam	6	ganma	2
gam	6	ajagan	2
gam	6	jagama	2
gam	6	gantave	2
gam	6	gatvī	2
garj	1	agarjat	2
garj	1	agarjatām	2
garj	1	jagarja	2
garj	1	garjitvā	2
garh	1	garhate	2
garh	1	garhāmi	2
garh	1	garheyam	2
garh	1	garhet	2
garh	1	garhitavya	2
gā	4	gām	2
gā	4	gāma	2
gā	4	jigātu	2
gā	2	gāyasi	2
gā	2	gāyetām	2
gā	2	gāyatam	2
gā	2	gāyatām	2
gā	2	gāyantu	2
gā	2	gāsyanti	2
gā	2	gāyante	2
gā	2	gāsi	2
gā	2	gītvā	2
gā	2	gāya	2
gāh	1	agāhata	2
gāh	1	agāhiṣi	2
gāh	1	gāhanti	2
gāh	1	gāhanīya	2
guñj	1	guñjita	2
gup	1	goptā	2
gup	1	gopitum	2
gup	1	gopitavya	2
gur	6	gurasva	2
guh	6	gūhati	2
guh	6	gūha	2
guh	6	gūheta	2
guh	6	gūhat	2
gṛ	9	gṛṇate	2
gṛ	9	gṛṇātu	2
gṛ	9	gṛṇata	2
gṛ	9	gīrṇa	2
gṛ	9	gṛṇīṣaṇi	2
gṛ	9	girāmi	2
gṛ	9	girate	2
gṛ	9	girat	2
gṛdh	4	gṛdhyati	2
gṛdh	4	jāgṛdhuḥ	2
granth	1	grathitvā	2
grah	6	gṛhṇītha	2
grah	6	gṛhṇate	2
grah	6	gṛhṇīmahi	2
grah	6	jagṛhāte	2
grah	6	jagṛhire	2
grah	6	agṛhṇat	2
grah	6	agṛhṇan	2
grah	6	gṛhyete	2
grah	6	ajigrahat	2
grah	6	grahīṣyase	2
grah	6	gṛhyantām	2
grah	6	agṛhṇanta	2
grah	6	jagrabha	2
grah	6	jagṛbhyāt	2
grah	6	gṛhṇāhi	2
grah	6	grabhat	2
gras	1	grasiṣyati	2
gras	1	grase	2
gras	1	grasante	2
gras	1	grasatetarām	2
gras	1	grasitum	2
glā	4	glāsīḥ	2
ghaṭ	1	ghaṭāmaḥ	2
ghaṭṭ	1	ghaṭṭate	2
ghas	1	ghasaḥ	2
ghas	1	jakṣivas	2
ghuṣ	1	ghoṣāt	2
ghrā	3	ghrāti	2
ghrā	3	jighranti	2
ghrā	3	ghrātavya	2
cakṣ	2	cakṣāthe	2
cakṣ	2	cakṣase	2
cakṣ	2	cacakṣa	2
cakṣ	2	cakṣata	2
cakṣ	2	cakṣi	2
cat	1	catat	2
car	1	caretām	2
car	1	acaraḥ	2
car	1	carase	2
car	1	carete	2
car	1	cāraṇīya	2
car	1	caryamāṇa	2
car	1	carase	2
carcay	10	carcayet	2
carv	1	carvitum	2
cal	1	calatu	2
cal	1	acalan	2
cal	1	calante	2
cāy	1	acāyiṣam	2
cāy	1	cāyamāna	2
ci	1	acaiṣīt	2
ci	1	cinvate	2
ci	1	ciñcinoti	2
ci	1	cayat	2
ci	1	cayadhve	2
ci	1	citavat	2
ci	1	cinvāna	2
cit	1	cetathaḥ	2
cit	1	cikituḥ	2
cit	1	cikitaḥ	2
cintay	10	cintayataḥ	2
cintay	10	cintayeyuḥ	2
cintay	10	cintayiṣyati	2
cintay	10	cintayasva	2
cud	1	codāmi	2
cud	1	coda	2
cud	1	codata	2
cud	1	cucoda	2
cud	1	codasva	2
cumb	1	cucumbe	2
coray	10	corayet	2
ceṣṭ	1	ceṣṭati	2
ceṣṭ	1	ceṣṭase	2
ceṣṭ	1	ceṣṭiṣyate	2
cyu	1	cyavet	2
cyu	1	cyava	2
cyu	1	acyavat	2
cyu	1	acyoṣṭhāḥ	2
cyu	1	acucyavītana	2
cyu	1	cyoṣṭhāḥ	2
cyu	1	cyavanta	2
chand	2	chantsat	2
chand	2	acchān	2
chid	1	chindyuḥ	2
chid	1	achindan	2
chid	1	chetsyanti	2
chid	1	achidam	2
chid	1	chinda	2
chid	1	chedanīya	2
jakṣ	1	jagdhum	2
jan	4	jāyadhvam	2
jan	4	janiṣyanti	2
jan	4	jajñatuḥ	2
jan	4	ajanyata	2
jan	4	janiṣīṣṭa	2
jan	4	jananta	2
jan	4	jāyathāḥ	2
jan	4	jātavat	2
jap	4	japeyuḥ	2
jap	4	ajījapan	2
jap	4	japyate	2
jap	4	japate	2
jap	4	japamāna	2
jalp	1	jalpa	2
jalp	1	ajalpan	2
jalp	1	jajalpa	2
ji	9	jayāmaḥ	2
ji	9	jayeḥ	2
ji	9	jayatam	2
ji	9	jayatām	2
ji	9	jeṣyanti	2
ji	9	jigyatuḥ	2
ji	9	jayāmahe	2
ji	9	jayiṣyasi	2
ji	9	jayantām	2
ji	9	ajīyata	2
ji	9	jeṣyate	2
ji	9	jeṣyāma	2
ji	9	ajayanta	2
ji	9	jaiṣīḥ	2
ji	9	jayātha	2
ji	9	jeṣāma	2
ji	9	ajaiḥ	2
ji	9	jeṣyat	2
ji	9	jitya	2
ji	9	jayamāna	2
ji	9	jiṣe	2
ji	9	jetva	2
jinv	6	ajinvat	2
jinv	6	jinvita	2
jīv	1	jīviṣyāmi	2
jīv	1	jīviṣyāmaḥ	2
jīv	1	jīviṣyanti	2
jīv	1	jijīva	2
jīv	1	jīvāmahe	2
jīv	1	jīvasva	2
juṣ	6	jujoṣati	2
juṣ	6	jujuṣe	2
juṣ	6	juṣerata	2
juṣ	6	joṣat	2
juṣ	6	jujuṣvas	2
jū	1	jūjuvāna	2
jū	1	jūjuvas	2
jṛ	6	jaret	2
jṛ	6	jaratam	2
jṛ	6	ajīryat	2
jṛ	6	jīryete	2
jṛ	6	jarase	2
jṛ	6	jarante	2
jṛ	6	jīryamāṇa	2
jṛ	6	jaramāṇa	2
jṛmbh	1	jṛmbhati	2
jñā	4	jānīvaḥ	2
jñā	4	jñāsyate	2
jñā	4	jñāyeta	2
jñā	4	ajñāyanta	2
jñā	4	ajānata	2
jñā	4	ajñāsyam	2
jñā	4	ajānanta	2
jñā	4	jānāt	2
jñā	4	jānatha	2
jñā	4	jānante	2
jñā	4	jānata	2
jñā	4	jñāsyat	2
jyā	9	jīta	2
jval	1	jvaliṣyati	2
ḍhauk	1	ḍhaukita	2
takṣ	1	takṣati	2
takṣ	1	atakṣiṣuḥ	2
takṣ	1	takṣasi	2
takṣ	1	takṣati	2
takṣ	1	takṣatha	2
takṣ	1	atakṣat	2
takṣ	1	atakṣata	2
takṣ	1	tāḍhi	2
takṣ	1	takṣata	2
takṣ	1	takṣat	2
tāḍay	10	tāḍayasi	2
tāḍay	10	tāḍayiṣyāmi	2
tāḍay	10	atāḍyata	2
tāḍay	10	tāḍya	2
tan	8	tanyate	2
tan	8	tanuṣe	2
tan	8	tene	2
tan	8	atanuta	2
tan	8	tatanāma	2
tan	8	tanudhvam	2
tan	8	tatnire	2
tan	8	tatanaḥ	2
tan	8	tatniṣe	2
tan	8	atanat	2
tan	8	tanvīta	2
tan	8	tatanvas	2
tap	4	tapasi	2
tap	4	tapyāmahe	2
tap	4	tepire	2
tap	4	tepāte	2
tap	4	tapyasva	2
tap	4	taptā	2
tap	4	tapye	2
tap	4	tapyate	2
tap	4	tapsyasi	2
tap	4	tapāti	2
tap	4	tapya	2
tam	4	tāmyanti	2
tarkay	0	tarkayāmi	2
tarkay	0	tarkayanti	2
tarkay	0	atarkayat	2
tarkay	0	tarkayase	2
tarkay	0	tarkayeta	2
tarkay	0	tarkaṇīya	2
tarj	1	tarjamāna	2
tij	1	tejase	2
aṅkay	10	aṅkya	2
aṅkay	10	aṅkayitvā	2
añjay	10	añjyate	2
atikram	6	atikrāmyati	2
atikram	6	atikramya	2
atikram	6	atikramat	2
atikṣip	6	atikṣipta	2
atigam	1	atigacchat	2
arth	0	arthamāna	2
tuj	6	tuñjanti	2
tuj	6	tuñjāna	2
tuj	6	tujaye	2
tud	7	tudet	2
tud	7	tudantu	2
tud	7	tudat	2
tūrv	1	tūrvatha	2
tolay	10	tolya	2
tuṣ	4	tuṣyasi	2
tuṣ	4	tuṣyeḥ	2
tuṣ	4	tuṣyatu	2
tuṣ	4	tuṣyantu	2
tuṣ	4	tuṣyate	2
tuṣ	4	atuṣyanta	2
tuṣ	4	toṣṭum	2
tṛ	3	tarāmi	2
tṛ	3	tareyam	2
tṛ	3	taratu	2
tṛ	3	tarantu	2
tṛ	3	tariṣyasi	2
tṛ	3	tariṣyāmaḥ	2
tṛ	3	atārṣam	2
tṛ	3	tarase	2
tṛ	3	atārīt	2
tṛ	3	tiranti	2
tṛ	3	atiraḥ	2
tṛ	3	titiruḥ	2
tṛ	3	tāriṣṭam	2
tṛ	3	tariṣyat	2
tṛ	3	taritum	2
tṛ	3	taramāṇa	2
tṛ	3	titirvas	2
tṛ	3	tarīṣaṇi	2
tṛd	7	tatṛdāna	2
tṛp	6	tṛpyata	2
tṛp	6	atṛpyat	2
tṛp	6	tatṛpuḥ	2
tṛp	6	tṛpyeta	2
tṛp	6	tṛpyasva	2
tṛp	6	tṛmpatam	2
tṛp	6	tṛpṇuhi	2
tṛp	6	tarpaṇīya	2
tṛṣ	4	tṛṣyet	2
tṛṣ	4	tatṛṣāṇa	2
anvavakram	1	anvavakrāmati	2
bhū	1	abhavata	2
bhū	1	babhūva	2
bhū	1	bhavante	2
bhū	1	bhaveya	2
bhū	1	bhavemahi	2
bhū	1	bhaveran	2
bhū	1	bhaviṣye	2
bhū	1	bhaviṣyete	2
bhū	1	bhavitāsmi	2
bhū	1	bhūyām	2
bhū	1	abhuvam	2
bhū	1	abhuvan	2
bhū	1	bhūyāḥ	2
bhū	1	bhūtana	2
aṅgīkṛ	8	aṅgīkaroti	2
aṅgīkṛ	8	aṅgīkariṣyati	2
aṅgīkṛ	8	aṅgīkriyate	2
dru	1	dravataḥ	2
dru	1	dudruve	2
dru	1	dudruvire	2
dru	1	draviṣyanti	2
dru	1	dudravat	2
dru	1	drutvā	2
dhanv	1	dhanvasi	2
dhanv	1	adhanviṣuḥ	2
dhanv	1	adhanvat	2
nakṣ	1	nakṣanti	2
nakṣ	1	anakṣan	2
nakṣ	1	nakṣan	2
nakṣ	1	nakṣata	2
nakṣ	1	nakṣasva	2
naś	1	naśāmahai	2
nī	2	nayathaḥ	2
nī	2	nayataḥ	2
nī	2	nayāva	2
nī	2	anayaḥ	2
nī	2	neṣyāmaḥ	2
nī	2	ninetha	2
nī	2	ninyathuḥ	2
nī	2	nayase	2
nī	2	nayiṣyasi	2
nī	2	anāyi	2
nī	2	nīyeta	2
nī	2	neṣatha	2
nī	2	ninīyāt	2
nī	2	neṣaḥ	2
nī	2	nayat	2
nī	2	neṣyat	2
nī	2	netavya	2
nī	2	netoḥ	2
nū	1	numaḥ	2
nū	1	nutvā	2
nū	1	navamāna	2
pat	1	patāmi	2
pat	1	pateyuḥ	2
pat	1	apīpatat	2
pat	1	papāta	2
pat	1	petathuḥ	2
pat	1	patante	2
pat	1	patasva	2
pat	1	patitāsmi	2
pat	1	patitāsi	2
pat	1	pete	2
pat	1	patyate	2
pat	1	paptan	2
pat	1	paptuḥ	2
pat	1	patitavya	2
pat	1	petivas	2
brū	2	brūtaḥ	2
brū	2	bruvadhvam	2
brū	2	bruvīta	2
brū	2	brūṣva	2
brū	2	bravīthāḥ	2
brū	2	bravītana	2
brū	2	bruve	2
brū	2	bruvīmahi	2
yā	2	yāvaḥ	2
yā	2	yāyām	2
yā	2	yāsyete	2
yā	2	ayāsam	2
yā	2	ayāsuḥ	2
yā	2	ayuḥ	2
yā	2	yātāsi	2
yā	2	yātāraḥ	2
vac	2	vakṣyataḥ	2
vac	2	ūcima	2
vac	2	vaktāsmi	2
vac	2	vaktāsi	2
vac	2	avocanta	2
vac	2	voceyam	2
vac	2	voceya	2
vañc	1	vañcasi	2
vañc	1	vacyante	2
vañc	1	vañcyamāna	2
vad	1	ūdima	2
vad	1	avadata	2
vad	1	vadiṣye	2
vad	1	avādiṣuḥ	2
vad	1	vadān	2
vad	1	vadāmasi	2
vad	1	vadat	2
vad	1	vādiṣaḥ	2
vad	1	vaditavya	2
vṛt	3	varteya	2
vṛt	3	varteyātām	2
vṛt	3	vartasi	2
vṛt	3	vartāmaḥ	2
vṛt	3	varteyam	2
vṛt	3	vavṛtire	2
muc	6	mumucatuḥ	2
muc	6	mucye	2
muc	6	mucyasva	2
muc	6	mucyeya	2
muc	6	mucyati	2
muc	6	mucyanti	2
muc	6	amuñcanta	2
muc	6	muñcethāḥ	2
muc	6	amoci	2
muc	6	mucaḥ	2
muc	6	mumocati	2
muc	6	mumocat	2
muc	6	amukthāḥ	2
muc	6	mukṣata	2
muc	6	mucya	2
muc	6	mumucāna	2
han	6	hathaḥ	2
han	6	hanyāma	2
han	6	haniṣyatha	2
han	6	ahanam	2
han	6	hanāni	2
han	6	hanāva	2
han	6	ajīghanat	2
han	6	hanma	2
han	6	hanyeran	2
han	6	hanasva	2
han	6	ahatām	2
han	6	jīghanaḥ	2
han	6	hanat	2
han	6	hanati	2
han	6	hanāva	2
han	6	hanāma	2
han	6	hanya	2
han	6	ghnantum	2
han	6	jighnat	2
vas	2	avasaḥ	2
vas	2	avātsam	2
vas	2	avātsīḥ	2
vas	2	avāstam	2
vas	2	vasasva	2
vas	2	vaseta	2
vas	2	vasiṣyāmaḥ	2
vas	2	avīvasat	2
vyadh	4	vidhyamāna	2
sad	6	sīdetām	2
sad	6	sedathuḥ	2
sad	6	sedatuḥ	2
sad	6	sīdasva	2
sad	6	sadata	2
sad	6	sadantām	2
sad	6	sadat	2
nṛt	4	anṛtyanta	2
nṛt	4	nṛtyatām	2
nṛt	4	nṛtyeran	2
dhāv	1	adhāvatām	2
dhāv	1	adhāvan	2
dhāv	1	dhāveta	2
sū	1	suvāte	2
sū	1	soṣyate	2
sū	1	suṣuvire	2
sū	1	suvasi	2
sū	1	sūta	2
bhuj	6	bhokṣyāmahe	2
bhuj	6	bhokṣyante	2
bhuj	6	bubhujāte	2
bhuj	6	bhokṣyāma	2
bhuj	6	bhuṅkta	2
bhuj	6	bubhujuḥ	2
bhuj	6	bhoktāsmi	2
bhuj	6	bhoktāsi	2
bhuj	6	bhoktā	2
bhuj	6	bhuñja	2
bhuj	6	bhuja	2
bhuj	6	bubhujrire	2
bhuj	6	bhokṣyamāṇa	2
man	8	manyethām	2
man	8	amanye	2
man	8	menāte	2
man	8	amaṃsthāḥ	2
man	8	amaṃsmahi	2
man	8	manyanti	2
man	8	manyet	2
man	8	manvīran	2
man	8	amanvata	2
man	8	manyata	2
man	8	manvata	2
man	8	manyat	2
yat	1	yatāvahe	2
yat	1	yatete	2
yat	1	yatiṣyante	2
yat	1	yatati	2
yat	1	yatanti	2
yat	1	yatet	2
yat	1	yatiṣyati	2
yat	1	yatiṣyāmaḥ	2
yam	6	yacchatām	2
yam	6	yayāma	2
yam	6	yematuḥ	2
yam	6	yacchadhvam	2
yam	6	yantāsi	2
yam	6	yamati	2
yam	6	yaṃsataḥ	2
yam	6	ayāṃsam	2
yam	6	yaṃsate	2
yam	6	yamyāḥ	2
yam	6	yantum	2
yuj	6	yujyase	2
yuj	6	yujyete	2
yuj	6	yuñje	2
yuj	6	yuṅkṣva	2
yuj	6	yuyujuḥ	2
yuj	6	yujyasva	2
yuj	6	yujyeran	2
yuj	6	yokṣye	2
yuj	6	yujyati	2
yuj	6	yujyanti	2
yuj	6	yuñjata	2
yuj	6	ayūyujan	2
yuj	6	yujyantu	2
yuj	6	yuṅdhi	2
yuj	6	yuñjantu	2
yuj	6	ayuñjata	2
yuj	6	yuje	2
yuj	6	yunajat	2
yuj	6	yunajan	2
yuj	6	ayujran	2
yuj	6	yujanta	2
yuj	6	yuyojate	2
yuj	6	yuktavat	2
ruh	6	rohata	2
ruh	6	ruroha	2
vap	1	vapantu	2
vap	1	upya	2
vas	1	vasīmahi	2
vas	1	vasīran	2
vas	1	vaset	2
vas	1	vasiṣva	2
vas	1	vasita	2
adhivas	1	adhyavasat	2
adhivas	1	adhyuṣṭa	2
vid	2	vindasi	2
vid	2	vindāmaḥ	2
vid	2	vindata	2
vid	2	avindam	2
vid	2	avindatam	2
vid	2	vinde	2
vid	2	vindante	2
vid	2	vindethāḥ	2
vid	2	vinderan	2
vid	2	avindanta	2
vid	2	vivitse	2
vid	2	vetsyāmahe	2
vid	2	vidyeran	2
vid	2	vetsyadhvam	2
vid	2	vividre	2
vid	2	vidāt	2
vid	2	vide	2
vid	2	vindan	2
vid	2	vetsyat	2
vid	2	vide	2
vid	2	vindamāna	2
adhiruh	1	adhirohet	2
adhiruh	1	adhirohantu	2
adhiruh	1	adhirohat	2
bādh	1	bādhe	2
bādh	1	bādhete	2
bādh	1	bādhāmahe	2
bādh	1	abādhanta	2
bādh	1	babādhire	2
bādh	1	bādhye	2
bādh	1	bādhyete	2
bādh	1	abādhyanta	2
bādh	1	bādhata	2
bādh	1	bādhe	2
dhā	1	adadhām	2
dhā	1	adhattām	2
dhā	1	adhāḥ	2
dhā	1	dadhatuḥ	2
dhā	1	dadha	2
dhā	1	dadhyuḥ	2
dhā	1	dhattām	2
dhā	1	dadhanti	2
dhā	1	dadhatām	2
dhā	1	dheyām	2
dhā	1	dhetana	2
dhā	1	dadhase	2
dhā	1	dhat	2
dhā	1	dadhantu	2
dhā	1	dhire	2
dhā	1	dheya	2
dhā	1	dadhat	2
rāj	2	rājāmi	2
rāj	2	rājeta	2
rāj	2	rejire	2
viś	4	viśeyam	2
viś	4	viśetām	2
viś	4	viśema	2
viś	4	viśeyuḥ	2
viś	4	viśatām	2
viś	4	viśat	2
śri	1	śrayeyuḥ	2
śri	1	śrayatām	2
śri	1	śiśriyuḥ	2
śri	1	śrayethāḥ	2
śri	1	śrayethām	2
śri	1	śiśriyire	2
śri	1	aśreḥ	2
śri	1	aśiśret	2
śri	1	aśrāyi	2
śri	1	śrayamāṇa	2
vṛj	7	vṛṇakṣi	2
vṛj	7	vṛñjanti	2
vṛj	7	vṛkṣi	2
vṛj	7	varktam	2
vṛj	7	vark	2
vṛj	7	vark	2
vṛdh	6	vardhatam	2
vṛdh	6	vardhata	2
vṛdh	6	vavṛdhire	2
vṛdh	6	vardhiṣyate	2
vṛdh	6	vāvṛdhe	2
vṛdh	6	vardhitum	2
vṛdh	6	vardhitavya	2
vṛdh	6	vāvṛdhvas	2
vṛdh	6	vṛdham	2
vṛdh	6	vṛdhasāna	2
vṛdh	6	vavṛdhāna	2
vye	4	vyayasva	2
śī	1	śayīthāḥ	2
śī	1	śayīyātām	2
śī	1	śayīmahi	2
śī	1	śayīran	2
śī	1	śayiṣye	2
śī	1	śeṣyate	2
śī	1	śetām	2
śī	1	śayate	2
śī	1	śere	2
śī	1	śayitum	2
śī	1	śayya	2
śī	1	śayamāna	2
śī	1	śayadhyai	2
adhiśri	1	adhiśrayati	2
su	6	asunvan	2
su	6	sasūva	2
su	6	sunavat	2
su	6	asūṣavat	2
su	6	sunavai	2
su	6	sutvā	2
su	6	suṣuvas	2
su	6	suṣuvāṇa	2
skand	1	skandate	2
sthā	1	tasthathuḥ	2
sthā	1	tasthima	2
sthā	1	asthāsyat	2
sthā	1	tiṣṭhatam	2
sthā	1	tiṣṭhāma	2
sthā	1	tiṣṭhāmahe	2
sthā	1	tiṣṭhantām	2
sthā	1	tiṣṭheran	2
sthā	1	sthāta	2
sthā	1	sthāthaḥ	2
