aṁa, aṁ a
saukumāryaviḍambitanavamālikā, saukumārya navamālikā viḍambay
saukumāryācca, saukumārya ca
saukumāryāccirotsṛṣṭe, saukumārya cira utsṛj
saukumāryādgurutvācca, saukumārya guru tva ca
saukumāryārthinaśca, saukumārya arthin ca
saukumāryālpakāyatvāt, saukumārya alpa kāya tva
saukumāryālpakāyatve, saukumārya alpa kāya tva
saukṣmyācca, saukṣmya ca
saukṣmyāccādṛṣṭam, saukṣmya ca adṛṣṭa
saukṣmyāttena, saukṣmya tena
saukṣmyādanupalabdhiḥ, saukṣmya anupalabdhi
saukṣmyādākāśaṁ, saukṣmya ākāśa
saukṣmyādīni, saukṣmya ādi
saukṣmyādauṣṇyācca, saukṣmya auṣṇya ca
saukṣmyādrasānādadāno, saukṣmya rasa ādā
saukṣmyānnābhivyajyate, saukṣmya na abhivyañj
saukhyakaraṇaṁ, saukhya karaṇa
saukhyakāri, saukhya kārin
saukhyajanakaṁ, saukhya janaka
saukhyajananaṁ, saukhya janana
saukhyatvaṁ, saukhya tva
saukhyadaś, saukhya da
saukhyadāyakaḥ, saukhya dāyaka
saukhyapradaṁ, saukhya prada
saukhyabalapradaṁ, saukhya bala prada
saukhyasamudrāya, saukhya samudra
saukhyācca, saukhya ca
saukhyārthinī, saukhya arthin
saukhyālambirasāyanaṁ, saukhya ālambin rasāyana
saugatādimateṣv, saugata ādi mata
saugatādau, saugata ādi
saugandhikapuṭikā, saugandhika puṭikā
saugandhikavanaṁ, saugandhika vana
saugandhikavanāya, saugandhika vana
saugandhikaśca, saugandhika ca
saugandhikotthā, saugandhika uttha
saugandhikotthāḥ, saugandhika uttha
saugandhyadaḥ, saugandhya da
saugandhyavaiśadyakarī, saugandhya vaiśadya kara
saugandhyācca, saugandhya ca
saujā, sa ojas
sautiputraḥ, sauti putra
sautrādayastu, sautra ādi tu
sautrāmaṇiphalaṁ, sautrāmaṇi phala
sautrāmaṇīti, sautrāmaṇī iti
saudakatvam, sa audaka tva
saudaryasampraśnasamarthavārtayā, sa audarya sampraśna samartha vārttā
saudāminīva, saudāminī iva
saudāminīvilasitāṁśukavītamūrte, saudāminī aṁśuka mūrti vilas vī
saudāminīvisphuritābhirāmaṁ, saudāminī abhirāma visphur
saudāsapatnyā, saudāsa patnī
saudāsavacanaṁ, saudāsa vacana
saudāsastasya, saudāsa tad
saudevistvatha, saudevi tu atha
saudhagavākṣagatāpi, saudha gavākṣa api gam
saudhajālapatitā, saudha jāla pat
saudhadhavalāṁ, saudha dhavala
saudhadhvajapaṭaśikhāghṛṣṭabimbe, saudha dhvaja paṭa śikhā bimba ghṛṣ
saudhapṛṣṭhe, saudha pṛṣṭha
saudhabhittiṁ, saudha bhitti
saudhamāgatam, saudha āgam
saudhasthale, saudha sthala
saudhāgreṣvaniloddhūtāḥ, saudha agra anila uddhū
saudhānīva, saudha iva
saudhāntareṣu, saudha antara
saudhārohaṇaparipāṭyā, saudha ārohaṇa paripāṭi
saudhārkapayasī, saudha ārka payas
saudhotsaṅgaḥ, saudha utsaṅga
saudhotsaṅgapraṇayavimukho, saudha utsaṅga praṇaya vimukha
saudhairuḍugaṇagatīrūrdhvamutsārayantīṁ, saudha uḍu gaṇa gati ūrdhvam utsāray
saudhaistuṅgairhasadiva, saudha tuṅga iva has
saunandakinānuśocan, saunandaki anuśuc
saundaryatāṁ, saundarya tā
saundaryanirjitarati, saundarya rati nirji
saundaryavismitena, saundarya vismi
saundaryendoḥ, saundarya indu
sauparṇarūpiṇaste, sauparṇa rūpin tad
sauparṇalokaśca, sauparṇa loka ca
sauptikaiṣīkasaṁbandhe, sauptika aiṣīka sambandha
saubalapramukhān, saubala pramukha
saubalaśca, saubala ca
saubalaścāpi, saubala ca api
saubalaścaiva, saubala ca eva
saubalastu, saubala tu
saubalastribhir, saubala tri
saubalastvavicāryaiva, saubala tu a eva vicāray
saubalasyātmajāḥ, saubala ātmaja
saubalānīkam, saubala anīka
saubalānumate, saubala anumata
saubalenāpi, saubala api
saubaleneha, saubala iha
saubhagatvaṁ, saubhaga tva
saubhagatvasya, saubhaga tva
saubhagatvāya, saubhaga tva
saubhagarddheḥ, saubhaga ṛddhi
saubhagā, saubhaga ā
saubhagāyety, saubhaga iti
saubhagāsaṅgasya, saubhaga asaṅga
saubhagety, saubhaga iti
saubhañjanakastathā, saubhañjanaka tathā
saubhadracāpaprabhavair, saubhadra cāpa prabhava
saubhadrajanako, saubhadra janaka
saubhadratanayaṁ, saubhadra tanaya
saubhadrapramukhā, saubhadra pramukha
saubhadrapramukhān, saubhadra pramukha
saubhadramahiṣī, saubhadra mahiṣī
saubhadramādravadvīraḥ, saubhadra vīra ādru
saubhadravadham, saubhadra vadha
saubhadravadhasaṁtaptā, saubhadra vadha saṁtap
saubhadraviśikhaiḥ, saubhadra viśikha
saubhadraviśikhaiśchinnaḥ, saubhadra viśikha chid
saubhadraśaranirbhinnaṁ, saubhadra śara nirbhid
saubhadraśaranirbhinno, saubhadra śara nirbhid
saubhadraśca, saubhadra ca
saubhadraścādravat, saubhadra ca dru
saubhadrasahitā, saubhadra sahita
saubhadrastava, saubhadra tvad
saubhadrastāmasīṁ, saubhadra tāmasa
saubhadrastu, saubhadra tu
saubhadrastejasā, saubhadra tejas
saubhadrasyātmajo, saubhadra ātmaja
saubhadrasyātha, saubhadra atha
saubhadrasyānavadyāṅgīṁ, saubhadra anavadya aṅga
saubhadrasyāpluto, saubhadra āplu
saubhadrādīn, saubhadra ādi
saubhadreṇāśugai, saubhadra āśuga
saubhadvāri, saubha dvār
saubhadvāre, saubha dvāra
saubhanagaraṁ, saubha nagara
saubhapatiṁ, saubha pati
saubhapatiḥ, saubha pati
saubhapatir, saubha pati
saubhapatis, saubha pati
saubhapateḥ, saubha pati
saubhapatau, saubha pati
saubhapuraṁ, saubha pura
saubhamadhye, saubha madhya
saubharāḍ, saubha rāj
saubharājam, saubha rāja
saubhariṇājñaptasteṣu, saubhari tad ājñapay
saubharicaritam, saubhari carita
saubharirekāgratāsamādhānam, saubhari ekāgra tā samādhāna
saubharirnāma, saubhari nāma
saubhareṇorg, saubhara ūrj
saubhavadhākhyānaṁ, saubha vadha ākhyāna
saubhavadhāyāhaṁ, saubha vadha mad
saubhasthaṁ, saubha stha
saubhākhyānaṁ, saubha ākhyāna
saubhāgyakaraṇaṁ, saubhāgya karaṇa
saubhāgyakaraṇī, saubhāgya karaṇa
saubhāgyakarīṁ, saubhāgya kara
saubhāgyakāntipradaṁ, saubhāgya kānti prada
saubhāgyakṛdyoṣitāṁ, saubhāgya kṛt yoṣit
saubhāgyakṣāraṁ, saubhāgya kṣāra
saubhāgyakṣāraḥ, saubhāgya kṣāra
saubhāgyakṣāram, saubhāgya kṣāra
saubhāgyagarvam, saubhāgya garva
saubhāgyacihnamiva, saubhāgya cihna iva
saubhāgyajaṁ, saubhāgya ja
saubhāgyajananaḥ, saubhāgya janana
saubhāgyadaṁ, saubhāgya da
saubhāgyadā, saubhāgya da
saubhāgyadāya, saubhāgya da
saubhāgyadāyinyai, saubhāgya dāyin
saubhāgyadhanaputrāyuḥ, saubhāgya dhana putra āyus
saubhāgyanāthāya, saubhāgya nātha
saubhāgyapañcagavyena, saubhāgya pañcagavya
saubhāgyapiṣṭamauktikacūrṇaṁ, saubhāgya mauktika cūrṇa piṣ
saubhāgyaphaladam, saubhāgya phala da
saubhāgyaphalam, saubhāgya phala
saubhāgyaphalā, saubhāgya phala
saubhāgyabalam, saubhāgya bala
saubhāgyabālakadalī, saubhāgya bāla kadala
saubhāgyabhavanāyeti, saubhāgya bhavana iti
saubhāgyamatulaṁ, saubhāgya atula
saubhāgyamadena, saubhāgya mada
saubhāgyamapi, saubhāgya api
saubhāgyamayaṁ, saubhāgya idam
saubhāgyamayī, saubhāgya maya
saubhāgyamalpairnimnai, saubhāgya alpa nimna
saubhāgyamasyai, saubhāgya idam
saubhāgyamātrakaṁ, saubhāgya mātraka
saubhāgyamānamadhikaṁ, saubhāgya māna adhika
saubhāgyamānavān, saubhāgya mānavat
saubhāgyamānināṁ, saubhāgya mānin
saubhāgyamāyurārogyameva, saubhāgya āyus ārogya eva
saubhāgyamekatāṁ, saubhāgya eka tā
saubhāgyametāṁ, saubhāgya etad
saubhāgyameva, saubhāgya eva
saubhāgyayaśaḥ, saubhāgya yaśas
saubhāgyayuktāsu, saubhāgya yuj
saubhāgyalakṣmīnidhau, saubhāgya lakṣmī nidhi
saubhāgyavadavaidhavyakāmyayā, saubhāgyavat avaidhavya kāmyā
saubhāgyavarddhanaṁ, saubhāgya vardhana
saubhāgyavardhanaṁ, saubhāgya vardhana
saubhāgyavilopi, saubhāgya vilopin
saubhāgyaśayanaṁ, saubhāgya śayana
saubhāgyasatkāre, saubhāgya satkāra
saubhāgyasantatiṁ, saubhāgya saṁtati
saubhāgyasaraḥ, saubhāgya saras
saubhāgyasaugandhyakaraṁ, saubhāgya saugandhya kara
saubhāgyasyāsya, saubhāgya idam
saubhāgyākṣaramālikeva, saubhāgya akṣara mālikā iva
saubhāgyādiphalaṁ, saubhāgya ādi phala
saubhāgyāyāstu, saubhāgya as
saubhāgyārogyadaṁ, saubhāgya ārogya da
saubhāgyārogyasampannā, saubhāgya ārogya sampad
saubhāgyārthaṁ, saubhāgya artha
saubhāgyāṣṭakasaṁyuktaṁ, saubhāgyāṣṭaka saṁyuj
saubhāgyodayabhāgyavaśyavibhavotsāhapradaṁ, saubhāgya udaya bhāgya vaśyā vibhava utsāha prada
saubhāgyopapannaṁ, saubhāgya upapad
saubhācchirāṁsi, saubha śiras
saubhācchūrasutaṁ, saubha śūra suta
saubhāñjanarase, saubhāñjana rasa
saubhādhipateś, saubha adhipati
saubhrātradarśanārthaṁ, saubhrātra darśana artha
saumaṅgalyagiro, saumaṅgalya gir
saumadattivaśaṁ, saumadatti vaśa
saumadattiśca, saumadatti ca
saumadattistataḥ, saumadatti tatas
saumadattistathā, saumadatti tathā
saumadattistu, saumadatti tu
saumadatteśca, saumadatti ca
saumanasyakṛto, saumanasya kṛt
saumanasyadaurmanasyayor, saumanasya daurmanasya
saumanasyamutpādya, saumanasya utpāday
saumāśca, sauma ca
saumitribharatau, saumitri bharata
saumitrisahito, saumitri sahita
saumitristu, saumitri tu
saumitreścāpanirghoṣaṁ, saumitri cāpa nirghoṣa
saumukhyatastu, saumukhya tu
saumyagandhānuliptaśca, saumya gandha ca anulip
saumyagāndharvavārāhāḥ, saumya gāndharva vārāha
saumyaguṇatvāt, saumya guṇa tva
saumyaguṇena, saumya guṇa
saumyacaritā, saumya car
saumyacittatayā, saumya citta tā
saumyajaṁ, saumya ja
saumyatā, saumya tā
saumyatāṁ, saumya tā
saumyatvaṁ, saumya tva
saumyatvam, saumya tva
saumyatvāccaiva, saumya tva ca eva
saumyatvācchītam, saumya tva śīta
saumyatvāt, saumya tva
saumyatvād, saumya tva
saumyatvena, saumya tva
saumyadigbhāge, saumya diś bhāga
saumyadine, saumya dina
saumyadṛṣṭim, saumya dṛṣṭi
saumyadhātukṣayo, saumyadhātu kṣaya
saumyadhātor, saumya dhātu
saumyanāmnīṁ, saumya nāman
saumyapralāpino, saumya pralāpin
saumyaprekṣiṇaḥ, saumya prekṣin
saumyaphalair, saumya phala
saumyabhāge, saumya bhāga
saumyabhāvaṁ, saumya bhāva
saumyamanāḥ, saumya manas
saumyamayī, saumya maya
saumyamavraṇameva, saumya avraṇa eva
saumyamāgneyaṁ, saumya āgneya
saumyamāyuṣyaṁ, saumya āyuṣya
saumyamidaṁ, saumya idam
saumyayājyā, saumya yājyā
saumyarūpaṁ, saumya rūpa
saumyarūpaḥ, saumya rūpa
saumyarūpastathaiva, saumya rūpa tathā eva
saumyarūpeṇa, saumya rūpa
saumyaloke, saumya loka
saumyavaktrāya, saumya vaktra
saumyavadanā, saumya vadana
saumyavāruṇayorvṛṣṭiravṛṣṭiḥ, saumya vāruṇa vṛṣṭi avṛṣṭi
saumyavisargakālasambandhena, saumya visarga kāla sambandha
saumyavīryadravyāṇāṁ, saumya vīrya dravya
saumyavratamidaṁ, saumyavrata idam
saumyavratasyāgnaye, saumyavrata agni
saumyaśca, saumya ca
saumyaścandraścaiva, saumya candra ca eva
saumyaścaruḥ, saumya caru
saumyaścāgneya, saumya ca āgneya
saumyasampannayā, saumya sampad
saumyastapovane, saumya tapas vana
saumyastaijasa, saumya taijasa
saumyasthānātsamāyātā, saumya sthāna samāyā
saumyasyāpi, saumya api
saumyāṁśaṁ, saumya aṁśa
saumyākṛtivacanopacāraceṣṭāṁśca, saumya ākṛti vacana upacāra ceṣṭā ca
saumyāgneyāni, saumya āgneya
saumyāgneyo, saumya āgneya
saumyātithimatī, saumya atithimat
saumyātithimaty, saumya atithimat
saumyāditaḥ, saumya ādi
saumyādidiktrayasthaṁ, saumya ādi diś traya stha
saumyādiśubhakāryeṣu, saumya ādi śubha kārya
saumyādīndrāntaṁ, saumya ādi indra anta
saumyānale, saumya anala
saumyānuśoce, saumya anuśuc
saumyānyauṣadhāni, saumya auṣadha
saumyābhiścaināṁ, saumya ca enad
saumyārcir, saumya arci
saumyāśca, saumya ca
saumyāśceruḥ, saumya car
saumyāsaumyaiḥ, saumya asaumya
saumyāsaumyair, saumya asaumya
saumyāsaumyais, saumya asaumya
saumyāsaumyaistathā, saumya asaumya tathā
saumyāstrailokye, saumya trailokya
saumyāsmābhiḥ, saumya mad
saumyāsyadṛṣṭiḥ, saumya āsya dṛṣṭi
saumyāham, saumya mad
saumyekṣaṇāya, saumya īkṣaṇa
saumyecchasīti, saumya iti iṣ
saumyeti, saumya iti
saumyety, saumya iti
saumyenādhvareṇeṣṭvā, saumya adhvara yaj
saumyeṣvṛtuṣu, saumya ṛtu
saumyeṣvṛtuṣvādadītāgneyānyāgneyeṣu, saumya ṛtu āgneya āgneya ādā
saumyodaja, saumya udaj
saumyaināṁ, saumya enad
saumyairguṇaiḥ, saumya guṇa
saurabhahṛtamadhupagaṇaṁ, saurabha madhupa gaṇa hṛ
saurabhānusārī, saurabha anusārin
saurabheyagataṁ, saurabheya gam
saurabheyācca, saurabheya ca
saurabheyātra, saurabheya atra
saurabheyāśca, saurabheya ca
saurabheyīśatamadhyavartī, saurabheyī śata madhya vartin
saurabheyīstu, saurabheyī tu
saurabhyadaḥ, saurabhya da
saurabhyamātramanasām, saurabhya mātra manas
sauramamṛtaṁ, saura amṛta
sauramāsaṁ, saura māsa
sauraścāṅgiraso, saura ca aṅgiras
saurasūktaṁ, saura sūkta
saurastu, saura tu
saurāgneye, saura āgneya
saurāṇāmeva, saura eva
saurādīnāṁ, saura ādi
saurārghyaṁ, saura arghya
saurāllakṣeṇa, saura lakṣa
saurāṣṭrakhanisambhūtā, saurāṣṭra khani sambhū
saurāṣṭradeśakhanijaḥ, saurāṣṭra deśa khanija
saurāṣṭradeśasambhūtaḥ, saurāṣṭra deśa sambhū
saurāṣṭradeśe, saurāṣṭra deśa
saurāṣṭrabhavaṁ, saurāṣṭra bhava
saurāṣṭrāvantyaśūdrābhīrān, saurāṣṭra āvantya śūdra ābhīra
saurāṣṭrāśmani, saurāṣṭra aśman
saurāṣṭryativiṣāvyoṣatvagelāpattradāru, saurāṣṭrā ativiṣā vyoṣa tvac elā pattra dāru
sauribhaumadinaṁ, sauri bhauma dina
saurirāpaḥ, sauri ap
saurirmaṅgalado, sauri maṅgala da
saurīva, saura iva
saureṇāstreṇa, saura astra
saurairvaidikaiśca, saura vaidika ca
sauryāgneye, saurya āgneya
sauvarṇakāñcanaṁ, sauvarṇa kāñcana
sauvarṇakūrmamakarau, sauvarṇa kūrma makara
sauvarṇagirayastatra, sauvarṇa giri tatra
sauvarṇacakraṁ, sauvarṇa cakra
sauvarṇatām, sauvarṇa tā
sauvarṇadaṇḍam, sauvarṇa daṇḍa
sauvarṇapātraṁ, sauvarṇa pātra
sauvarṇabhasmādīnāṁ, sauvarṇa bhasman ādi
sauvarṇabhitti, sauvarṇa bhitti
sauvarṇabhṛṅgāraṁ, sauvarṇa bhṛṅgāra
sauvarṇamabhavaccāṇḍam, sauvarṇa ca aṇḍa bhū
sauvarṇameva, sauvarṇa eva
sauvarṇarājatābjamaṇimayānāṁ, sauvarṇa rājata abja maṇi maya
sauvarṇarājatābjānāṁ, sauvarṇa rājata abja
sauvarṇarājatābjānām, sauvarṇa rājata ap ja
sauvarṇarājatābhyāṁ, sauvarṇa rājata
sauvarṇarājatau, sauvarṇa rājata
sauvarṇaraupyatāmraṁ, sauvarṇa raupya tāmra
sauvarṇaraupyatāmreṣu, sauvarṇa raupya tāmra
sauvarṇaśṛṅgābhyām, sauvarṇa śṛṅga
sauvarṇaśca, sauvarṇa ca
sauvarṇasūryeṇa, sauvarṇa sūrya
sauvarṇastasmin, sauvarṇa tad
sauvarṇastvajo, sauvarṇa tu aja
sauvarṇahaṁsasaṁyuktaṁ, sauvarṇa haṁsa saṁyuj
sauvarṇādipātreṣu, sauvarṇa ādi pātra
sauvarṇāścaranti, sauvarṇa car
sauvarṇāstrayo, sauvarṇa tri
sauvarṇikādaṁśaḥ, sauvarṇikā daṁśa
sauvarṇikenādṛṣṭam, sauvarṇika adṛṣṭa
sauvarcalakaṭukatrayakāṁkṣīkāsīsagandhakaiḥ, sauvarcala kaṭukatraya kāṅkṣī kāsīsa gandhaka
sauvarcalaguṇā, sauvarcala guṇa
sauvarcalaguṇāḥ, sauvarcala guṇa
sauvarcaladvipale, sauvarcala dvi pala
sauvarcalamajāmūtraiḥ, sauvarcala ajā mūtra
sauvarcalamajāmūtrair, sauvarcala ajā mūtra
sauvarcalamatho, sauvarcala atho
sauvarcalayutaṁ, sauvarcala yuta
sauvarcalayuto, sauvarcala yuta
sauvarcalalavaṇaṁ, sauvarcala lavaṇa
sauvarcalavyoṣakṣaudrayuktaṁ, sauvarcala vyoṣa kṣaudra yuj
sauvarcalasamopetaṁ, sauvarcala sama upe
sauvarcalasahitaṁ, sauvarcala sahita
sauvarcalasahitamiti, sauvarcala sahita iti
sauvarcalasaindhavakacūlikasāmudraromakabiḍānīti, sauvarcala saindhavaka cūlikā sāmudra romaka viḍa iti
sauvarcalāḍhyaṁ, sauvarcala āḍhya
sauvarcalāḍhyāṁ, sauvarcala āḍhya
sauvarcalādīni, sauvarcala ādi
sauvarcalānvitaṁ, sauvarcala anvita
sauvarcalābhayākṛṣṇācūrṇamuṣṇodakaiḥ, sauvarcala abhayā kṛṣṇā cūrṇa uṣṇa udaka
sauvarcalābhayāvyoṣasiddhaṁ, sauvarcala abhayā vyoṣa sidh
sauvarcalāyutamudārarasaṁ, sauvarcala āyuta udāra rasa
sauvidāśca, sauvida ca
sauvīrakatuṣodakaśuktamaireyasurāsavatoyapayastailaghṛtekṣuvikāradadhipiṣṭānnāmlayavāgūpānakāni, sauvīraka tuṣodaka śukta maireya surā āsava toya payas taila ghṛta ikṣu vikāra dadhi piṣṭa anna amla yavāgū pānaka
sauvīrakanyābhiḥ, sauvīra kanyā
sauvīrakeṇāmlarasena, sauvīraka amla rasa
sauvīragaṇāśca, sauvīra gaṇa ca
sauvīracūrṇaṁ, sauvīra cūrṇa
sauvīrabhāganavakaṁ, sauvīra bhāga navaka
sauvīramañjanaṁ, sauvīra añjana
sauvīramatsyān, sauvīra matsya
sauvīrarājaṁ, sauvīra rāja
sauvīrarājaḥ, sauvīra rāja
sauvīrarājasya, sauvīra rāja
sauvīravīrāḥ, sauvīra vīra
sauvīrasindhūnāṁ, sauvīra sindhu
sauvīrasindhūnām, sauvīra sindhu
sauvīrākhyaṁ, sauvīra ākhyā
sauvīrāñjanakāsīsaṁ, sauvīrāñjana kāsīsa
sauvīrāñjanatulyaṁ, sauvīrāñjana tulya
sauvīrāñjanatulyāṁśaṁ, sauvīrāñjana tulya aṁśa
sauvīrāñjanameteṣu, sauvīrāñjana etad
sauvīrābhīrayoḥ, sauvīra ābhīra
sauvīrītanayās, sauvīrī tanaya
sauvīreṇārdhapūrṇe, sauvīra ardha pṛ
sauvīryādgandharvairasurair, sauvīrya gandharva asura
sauṣaṁ, sa oṣa
sauṣadhaṁ, sa auṣadha
sauṣadhamāvasathaṁ, sauṣadha āvasatha
sauṣadhasaṁgrahāṇāṁ, sa auṣadha saṁgraha
sauṣadhāścordhvamapatarpaṇajā, sa auṣadha ca ūrdhvam apatarpaṇa ja
sauṣadhigrāmā, tad oṣadhi grāma
sauṣadhigrāmā, sauṣadha grāma
sauṣadhisiddhasya, tad oṣadhi sidh
sauṣadhīr, tad oṣadhī
sauṣadhīratnaṁ, sa oṣadhī ratna
sauṣadhīṣvatha, sa oṣadhī atha
sauṣiryalāghavakaraṁ, sauṣirya lāghava kara
sauṣiryādikaraṁ, sauṣirya ādi kara
sauṣuptapadavat, sauṣupta pada vat
sauṣuptapadavan, sauṣupta pada vat
sauṣuptapadavanmūḍhaḥ, sauṣupta pada vat muh
sauṣuptādāv, sauṣupta ādi
sauṣumṇamuru, sauṣumṇa uru
sauṣumnadhāmani, sauṣumna dhāman
sauṣṭhavamabhividhānaṁ, sauṣṭhava abhividhāna
sauṣṭhavānmātṛtaścaivopasnehopasvedābhyāṁ, sauṣṭhava mātṛ ca eva upasneha upasveda
sauṣṭhavenābhisaṁyuktaḥ, sauṣṭhava abhisaṁyuj
sauṣṭhavopetam, sauṣṭhava upe
sauṣṭhavaudāryaviśeṣaśālinīṁ, sauṣṭhava audārya viśeṣa śālin
sauśravasasyodgāyata, sauśravasa udgā
sausurādāśceti, sausurāda ca iti
saustripurāyai, sauḥ tripurā
sauhārdadṛḍhabhaktitvānmaitreṣu, sauhārda dṛḍha bhakti tva maitra
sauhārdamapi, sauhārda api
sauhārdayuktāḥ, sauhārda yuj
sauhārdaviśleṣakareṣu, sauhārda viśleṣa kara
sauhārdavyañjakaṁ, sauhārda vyañjaka
sauhārdāccintyatāṁ, sauhārda cintay
sauhārdāllakṣmaṇena, sauhārda lakṣmaṇa
sauhārdenātigāḍhena, sauhārda ati gāḍha
sauhārdenopayuktaḥ, sauhārda upayuj
sauhityadānād, sauhitya dāna
sauhityameṣāṁ, sauhitya idam
sauhityameṣāmiti, sauhitya idam iti
sauhityānnarakād, sauhitya naraka
sauhityāsahatā, sauhitya asaha tā
sauhṛdabaddho, sauhṛda bandh
sauhṛdabalaiścāpi, sauhṛda bala ca api
sauhṛdayyāvirodhoktau, sauhṛdayya avirodha ukti
sauhṛdāccāpi, sauhṛda ca api
sauhṛdāccaiva, sauhṛda ca eva
